MCP_F,MCP_C,DHT_F,DHT_C,DHT_HUM,%ERROR_F,%ERROR_C
73.97,23.32,75.74,24.3,34,2.34,4.03
73.82,23.23,75.74,24.3,34,2.53,4.4
73.68,23.15,75.74,24.3,31,2.72,4.73
73.97,23.32,75.74,24.3,31,2.34,4.03
73.68,23.15,75.74,24.3,30,2.72,4.73
73.53,23.07,75.74,24.3,30,2.92,5.06
73.97,23.32,75.74,24.3,29,2.34,4.03
73.53,23.07,75.74,24.3,29,2.92,5.06
72.81,22.67,75.92,24.4,29,4.1,7.09
73.24,22.91,75.92,24.4,29,3.53,6.11
73.97,23.32,75.74,24.3,29,2.34,4.03
73.39,22.99,75.74,24.3,29,3.1,5.39
73.39,22.99,75.74,24.3,28,3.1,5.39
72.95,22.75,75.74,24.3,28,3.68,6.38
73.39,22.99,75.74,24.3,28,3.1,5.39
73.53,23.07,75.74,24.3,28,2.92,5.06
73.68,23.15,75.74,24.3,28,2.72,4.73
73.53,23.07,75.74,24.3,28,2.92,5.06
73.82,23.23,75.74,24.3,28,2.53,4.4
73.39,22.99,75.74,24.3,28,3.1,5.39
